M,N,K,t,tflops
2,16384,2,1.6976e-5,0.007721017907634307
2,16384,4,1.7374e-5,0.01508829285138713
2,16384,8,1.8944e-5,0.027675675675675675
2,16384,16,2.1559e-5,0.048637506377846834
2,16384,32,2.3562e-5,0.08900568712333418
2,16384,64,3.0722e-5,0.13652444502311048
2,16384,128,4.5101e-5,0.18599605330258753
2,16384,256,8.7063e-5,0.19270202037604953
2,16384,512,0.000232929,0.1440543341533257
2,16384,1024,0.000454646,0.14760685016474356
2,16384,2048,0.000628566,0.21353004775950338
2,16384,4096,0.001200902,0.223528194640362
2,16384,8192,0.002382721,0.2253184120171854
2,16384,16384,0.004804322,0.22349497473316735
2,16384,32768,0.011212406,0.19152746056466383
2,32768,2,1.731e-5,0.01514407856730214
2,32768,4,1.8017e-5,0.029099628128989287
2,32768,8,1.9495e-5,0.05378691972300591
2,32768,16,2.1592e-5,0.09712634309003336
2,32768,32,2.6211e-5,0.16002075464499638
2,32768,64,3.627e-5,0.2312822718500138
2,32768,128,6.0896e-5,0.2755060430898581
2,32768,256,0.00010942,0.3066572107475781
2,32768,512,0.00033627,0.19956839444494007
2,32768,1024,0.000510695,0.26281386737681
2,32768,2048,0.000776419,0.3457353001407745
2,32768,4096,0.001532927,0.3502260133718044
2,32768,8192,0.002967844,0.36179186776663463
2,32768,16384,0.006021757,0.35662077496650896
2,65536,2,1.7782e-5,0.029484197503093015
2,65536,4,1.9122e-5,0.054836105009936194
2,65536,8,2.0782e-5,0.10091194302762006
2,65536,16,2.4987e-5,0.16785944691239443
2,65536,32,3.3084e-5,0.2535548301293677
2,65536,64,5.1506e-5,0.32573323496291695
2,65536,128,9.2504e-5,0.36273493038138893
2,65536,256,0.000295988,0.2267283268240604
2,65536,512,0.0004246,0.316103928403203
2,65536,1024,0.000709578,0.37830295753250526
2,65536,2048,0.001271819,0.42212839405607244
2,65536,4096,0.002571731,0.4175171602317661
2,65536,8192,0.005113542,0.41996010749496143
2,131072,2,1.9742e-5,0.05311397021578362
2,131072,4,2.1294e-5,0.0984855827932751
2,131072,8,2.2087e-5,0.18989921673382532
2,131072,16,3.3354e-5,0.2515023085686874
2,131072,32,5.4819e-5,0.30604746529487953
2,131072,64,9.3376e-5,0.35934749828649765
2,131072,128,0.000212901,0.3152115960000188
2,131072,256,0.000424988,0.31581533596242717
2,131072,512,0.000668926,0.4012932013406565
2,131072,1024,0.001342537,0.39989282381044244
2,131072,2048,0.002504656,0.42869832184539514
2,131072,4096,0.005089637,0.4219325755451715
2,262144,2,2.2058e-5,0.09507444011243087
2,262144,4,2.3491e-5,0.17854940189859947
2,262144,8,2.7942e-5,0.3002150168205569
2,262144,16,5.4491e-5,0.3078896698537373
2,262144,32,9.0619e-5,0.3702803164899194
2,262144,64,0.000197048,0.3405711501766068
2,262144,128,0.000439624,0.30530118464869976
2,262144,256,0.000649699,0.4131689536231393
2,262144,512,0.001275195,0.421010835205596
2,262144,1024,0.002468339,0.4350058172722629
2,262144,2048,0.00482317,0.4452432006336082
2,524288,2,2.731e-5,0.153581252288539
2,524288,4,3.1333e-5,0.26772438004659627
2,524288,8,4.77e-5,0.35172360587002094
2,524288,16,8.6684e-5,0.38708910525587187
2,524288,32,0.000193486,0.3468409290594668
2,524288,64,0.000439963,0.3050659441816699
2,524288,128,0.000615259,0.4362966750587963
2,524288,256,0.001254684,0.4278933277223588
2,524288,512,0.002349179,0.4570710976047377
2,524288,1024,0.004550464,0.47192630202106867
2,1048576,2,3.9501e-5,0.21236444646970962
2,1048576,4,4.78e-5,0.3509877824267782
2,1048576,8,7.3224e-5,0.4582436359663498
2,1048576,16,0.000284415,0.23595402492836173
2,1048576,32,0.00044033,0.3048116821474803
2,1048576,64,0.000568856,0.4718864809371792
2,1048576,128,0.001139867,0.4709943458315751
2,1048576,256,0.002260599,0.47498111075869714
2,1048576,512,0.004544587,0.47253659089373795
2,2097152,2,6.2861e-5,0.26689387696664074
2,2097152,4,7.8392e-5,0.4280338810082661
2,2097152,8,0.000125052,0.5366476665707065
2,2097152,16,0.000443387,0.3027101110316721
2,2097152,32,0.000565543,0.47465083291633003
2,2097152,64,0.001060571,0.5062093080048389
2,2097152,128,0.002287768,0.4693403456993891
2,2097152,256,0.004497834,0.4774484002744432
2,4194304,2,0.000109644,0.306030717595126
2,4194304,4,0.000170716,0.3931023688465053
2,4194304,8,0.000321313,0.41771645716170835
2,4194304,16,0.000641697,0.41832119520583705
2,4194304,32,0.001083897,0.4953154331084965
2,4194304,64,0.002068108,0.5191904020486358
2,4194304,128,0.004414779,0.4864306113624261
2,8388608,2,0.000338407,0.1983081437440715
2,8388608,4,0.000391056,0.343218689906305
2,8388608,8,0.000571889,0.4693838419693332
2,8388608,16,0.001113845,0.481997865053037
2,8388608,32,0.002165118,0.4959276233443165
2,8388608,64,0.004174679,0.514406891643645
2,16777216,2,0.000490118,0.27384778359497103
2,16777216,4,0.000609897,0.4401324420352945
2,16777216,8,0.000950919,0.5645811178449479
2,16777216,16,0.002190327,0.4902198731057052
2,16777216,32,0.004203859,0.5108362692468991
2,33554432,2,0.00080724,0.3325348793419553
2,33554432,4,0.001054473,0.5091367080996858
2,33554432,8,0.001819435,0.5901512414568258
2,33554432,16,0.004221304,0.5087251825502261
2,67108864,2,0.00156505,0.34303754640426826
2,67108864,4,0.002070671,0.5185477673662305
2,67108864,8,0.003556449,0.6038280453339834
2,134217728,2,0.0029783,0.3605217150723567
2,134217728,4,0.004160808,0.5161217840381003
2,268435456,2,0.005971691,0.3596106442881924
4,2,2,1.5777e-5,2.0282689991760156e-6
4,2,4,1.6317e-5,3.922289636575351e-6
4,2,8,1.7346e-5,7.379222875590915e-6
4,2,16,1.9357e-5,1.3225189853799658e-5
4,2,32,2.3144e-5,2.212236432768752e-5
4,2,64,2.6743e-5,3.829039374789664e-5
4,2,128,3.9578e-5,5.1745919450199605e-5
4,2,256,6.3965e-5,6.403501915109826e-5
4,2,512,0.000112678,7.270274587763362e-5
4,2,1024,0.000306012,5.3540384037227304e-5
4,2,2048,0.000551672,5.939761307443553e-5
4,2,4096,0.000837022,7.829662780667652e-5
4,2,8192,0.001603161,8.175847591102826e-5
4,2,16384,0.003210381,8.165510573355625e-5
4,2,32768,0.006373681,8.225827430020424e-5
4,2,65536,0.012845663,8.162879564877265e-5
4,2,131072,0.033147497,6.326728078442847e-5
4,2,262144,0.058200561,7.206638437729148e-5
4,2,524288,0.144929315,5.7880684801415086e-5
4,2,1048576,0.33638839,4.98745393680204e-5
4,2,2097152,0.672864382,4.9868046069348935e-5
4,2,4194304,1.330467467,5.044006386065207e-5
4,2,8388608,2.668096495,5.030467535620371e-5
4,2,16777216,5.323240938,5.042707236559053e-5
4,2,33554432,10.647252052,5.042342469004978e-5
4,2,67108864,21.285605375,5.0444504869995975e-5
4,2,134217728,42.319919694,5.0744038824451365e-5
4,4,2,1.5654e-5,4.088411907499681e-6
4,4,4,1.6367e-5,7.820614651432761e-6
4,4,8,1.7595e-5,1.4549587951122478e-5
4,4,16,1.9604e-5,2.611711895531524e-5
4,4,32,2.1336e-5,4.799400074990626e-5
4,4,64,2.7133e-5,7.548004275236797e-5
4,4,128,3.9655e-5,0.00010329088387340815
4,4,256,6.371e-5,0.0001285826400878983
4,4,512,0.000113321,0.00014458043963607806
4,4,1024,0.000262353,0.0001249004204259147
4,4,2048,0.000606221,0.00010810578980272871
4,4,4096,0.000856231,0.00015308018513695486
4,4,8192,0.001619377,0.0001618795376246544
4,4,16384,0.003212457,0.00016320467480187282
4,4,32768,0.006401741,0.0001637954425210267
4,4,65536,0.012923037,0.00016228012037727664
4,4,131072,0.03324126,0.0001261776478990267
4,4,262144,0.058367503,0.00014372052201719164
4,4,524288,0.147936523,0.00011340820819480799
4,4,1048576,0.342900522,9.785471251046973e-5
4,4,2097152,0.67818239,9.895400557363337e-5
4,4,4194304,1.346951441,9.964555804651312e-5
4,4,8388608,2.691829647,9.972230460392133e-5
4,4,16777216,5.36594138,0.00010005157976586022
4,4,33554432,10.737181732,0.00010000220270091262
4,4,67108864,21.424160814,0.0001002365351270463
4,8,2,1.5725e-5,8.139904610492846e-6
4,8,4,1.632e-5,1.568627450980392e-5
4,8,8,1.7556e-5,2.916381863750285e-5
4,8,16,1.9647e-5,5.211991652669619e-5
4,8,32,2.3327e-5,8.779525871307928e-5
4,8,64,2.738e-5,0.0001495982468955442
4,8,128,3.9299e-5,0.0002084531413013054
4,8,256,6.4049e-5,0.0002558041499476963
4,8,512,0.000113976,0.00028749912262230644
4,8,1024,0.000366318,0.00017890466752930513
4,8,2048,0.000568773,0.00023044694456312098
4,8,4096,0.000845372,0.00031009307145256766
4,8,8192,0.001618148,0.00032400497358708847
4,8,16384,0.003240602,0.00032357444697003827
4,8,32768,0.006469354,0.0003241671424998539
4,8,65536,0.012887172,0.00032546349191273305
4,8,131072,0.033525103,0.00025021870924602375
4,8,262144,0.079203127,0.00021182517200362557
4,8,524288,0.177994423,0.00018851395136127382
4,8,1048576,0.347958107,0.00019286478070189064
4,8,2097152,0.688192782,0.0001950292585312236
4,8,4194304,1.368482955,0.00019615549833428507
4,8,8388608,2.729040867,0.00019672512731191722
4,8,16777216,5.448479717,0.0001970718218239446
4,8,33554432,10.883012078,0.00019732438341597879
4,16,2,1.5774e-5,1.6229237986560163e-5
4,16,4,1.628e-5,3.144963144963145e-5
4,16,8,1.7407e-5,5.882690871488481e-5
4,16,16,1.9687e-5,0.0001040280388073348
4,16,32,2.3569e-5,0.00017378760235903094
4,16,64,2.7528e-5,0.00029758791049113624
4,16,128,4.0301e-5,0.00040654078062579094
4,16,256,6.4989e-5,0.000504208404499223
4,16,512,0.000114147,0.0005741368586121404
4,16,1024,0.000312135,0.00041992086757332563
4,16,2048,0.000614347,0.0004267034753974545
4,16,4096,0.000861245,0.0006087559289168588
